"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 07 13:34:52 UTC 2026","Sun Jun 07 13:34:59 UTC 2026","7413","","ui.iteration2.UpdateUserNameTest","","ui.iteration2.UpdateUserNameTest","userCanChangeNameTest","userCanChangeNameTest()",""
"passed","Sun Jun 07 13:36:42 UTC 2026","Sun Jun 07 13:36:44 UTC 2026","1959","","api.iteration2.MoneyTransferTest","","api.iteration2.MoneyTransferTest","forbiddenTransferError","forbiddenTransferError()","Покрытие Swagger Coverage: 403 Forbidden для /transfer"
"passed","Sun Jun 07 13:36:03 UTC 2026","Sun Jun 07 13:36:05 UTC 2026","2059","","api.iteration2.DepositAccountTest","","api.iteration2.DepositAccountTest","userCantDepositAccountTest","userCantDepositAccountTest(Double, String, String) Негативные тесты",""
"passed","Sun Jun 07 13:36:05 UTC 2026","Sun Jun 07 13:36:07 UTC 2026","2024","","api.iteration2.DepositAccountTest","","api.iteration2.DepositAccountTest","userCantDepositAccountTest","userCantDepositAccountTest(Double, String, String) Негативные тесты",""
"passed","Sun Jun 07 13:35:14 UTC 2026","Sun Jun 07 13:35:16 UTC 2026","2203","","ui.iteration1.LoginUserTest","","ui.iteration1.LoginUserTest","userCantLoginWithIvalidDataTest","userCantLoginWithIvalidDataTest()",""
"passed","Sun Jun 07 13:36:59 UTC 2026","Sun Jun 07 13:37:02 UTC 2026","3696","","api.iteration2.MoneyTransferTest","","api.iteration2.MoneyTransferTest","userCanTransferMinSumTest","userCanTransferMinSumTest()",""
"passed","Sun Jun 07 13:36:10 UTC 2026","Sun Jun 07 13:36:12 UTC 2026","2222","","api.iteration2.UpdateUserNameTest","","api.iteration2.UpdateUserNameTest","negativeTest","negativeTest(String, String, String) Негативные тесты",""
"passed","Sun Jun 07 13:37:06 UTC 2026","Sun Jun 07 13:37:07 UTC 2026","1289","","api.iteration1.CreateUserTest","","api.iteration1.CreateUserTest","forbiddenPostUsersError","forbiddenPostUsersError()","Покрытие Swagger Coverage: 403 Unauthorized для POST /users"
"passed","Sun Jun 07 13:37:03 UTC 2026","Sun Jun 07 13:37:03 UTC 2026","399","","api.iteration1.CreateUserTest","","api.iteration1.CreateUserTest","adminCantCreateUserTest","adminCantCreateUserTest(String, String, String, String, String) Негативные тесты",""
"passed","Sun Jun 07 13:37:03 UTC 2026","Sun Jun 07 13:37:04 UTC 2026","324","","api.iteration1.CreateUserTest","","api.iteration1.CreateUserTest","adminCantCreateUserTest","adminCantCreateUserTest(String, String, String, String, String) Негативные тесты",""
