"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3805","adminCannotCreateUserWithInvalidData()","","Sun Jun 07 13:03:49 UTC 2026","passed","Sun Jun 07 13:03:53 UTC 2026","","ui.iteration1.CreateUserTest","ui.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidData"
"","4342","userCanTransferMaxSumTest()","","Sun Jun 07 13:05:17 UTC 2026","passed","Sun Jun 07 13:05:21 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","userCanTransferMaxSumTest"
"","2745","negativeTest(String, String, String) Негативные тесты","","Sun Jun 07 13:04:54 UTC 2026","passed","Sun Jun 07 13:04:57 UTC 2026","","api.iteration2.UpdateUserNameTest","api.iteration2.UpdateUserNameTest","negativeTest"
"Покрытие Swagger Coverage: 401 Unauthorized для POST /accounts","24","unauthorizedPostAccountsError()","","Sun Jun 07 13:05:46 UTC 2026","passed","Sun Jun 07 13:05:46 UTC 2026","","api.iteration1.CreateAccountTest","api.iteration1.CreateAccountTest","unauthorizedPostAccountsError"
"","1826","userCantDepositAccountTest(Double, String, String) Негативные тесты","","Sun Jun 07 13:04:46 UTC 2026","passed","Sun Jun 07 13:04:47 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","userCantDepositAccountTest"
"","1913","adminCanLoginWithCorrectDataTest()","","Sun Jun 07 13:04:02 UTC 2026","passed","Sun Jun 07 13:04:04 UTC 2026","","ui.iteration1.LoginUserTest","ui.iteration1.LoginUserTest","adminCanLoginWithCorrectDataTest"
"","4853","userCanTransferMoneyDifferentUserTest()","","Sun Jun 07 13:05:07 UTC 2026","passed","Sun Jun 07 13:05:12 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","userCanTransferMoneyDifferentUserTest"
"","1896","negativeTest(String, String, String) Негативные тесты","","Sun Jun 07 13:05:01 UTC 2026","passed","Sun Jun 07 13:05:03 UTC 2026","","api.iteration2.UpdateUserNameTest","api.iteration2.UpdateUserNameTest","negativeTest"
"","5373","testTransferWithFraudCheck()","","Sun Jun 07 13:04:15 UTC 2026","passed","Sun Jun 07 13:04:20 UTC 2026","","api.TransferWithFraudCheckTest","api.TransferWithFraudCheckTest","testTransferWithFraudCheck"
"Покрытие Swagger Coverage: 401 Unauthorized для POST /users","23","unauthorizedPostUsersError()","","Sun Jun 07 13:05:42 UTC 2026","passed","Sun Jun 07 13:05:42 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","unauthorizedPostUsersError"
"","359","adminCantCreateUserTest(String, String, String, String, String) Негативные тесты","","Sun Jun 07 13:05:40 UTC 2026","passed","Sun Jun 07 13:05:40 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCantCreateUserTest"
"","971","adminCanCreateUserTest()","","Sun Jun 07 13:05:44 UTC 2026","passed","Sun Jun 07 13:05:45 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCanCreateUserTest"
"","299","adminCantCreateUserTest(String, String, String, String, String) Негативные тесты","","Sun Jun 07 13:05:41 UTC 2026","passed","Sun Jun 07 13:05:42 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCantCreateUserTest"
"Покрытие Swagger Coverage: 401 Unauthorized для /deposit","46","unauthorizedDepositError()","","Sun Jun 07 13:04:38 UTC 2026","passed","Sun Jun 07 13:04:38 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","unauthorizedDepositError"
"","1884","userCanDepositMinSumAccountTest()","","Sun Jun 07 13:04:40 UTC 2026","passed","Sun Jun 07 13:04:42 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","userCanDepositMinSumAccountTest"
"","40","userCantLoginTest(String, String, String, String) Негативные тесты","","Sun Jun 07 13:05:46 UTC 2026","passed","Sun Jun 07 13:05:46 UTC 2026","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","userCantLoginTest"
"","2419","userCanChangeNameTest()","","Sun Jun 07 13:04:47 UTC 2026","passed","Sun Jun 07 13:04:50 UTC 2026","","api.iteration2.UpdateUserNameTest","api.iteration2.UpdateUserNameTest","userCanChangeNameTest"
"Покрытие Swagger Coverage: 403 Unauthorized для GET /users","1106","forbiddenGetUsersError()","","Sun Jun 07 13:05:42 UTC 2026","passed","Sun Jun 07 13:05:43 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","forbiddenGetUsersError"
"Покрытие Swagger Coverage: 403 Unauthorized для POST /users","1088","forbiddenPostUsersError()","","Sun Jun 07 13:05:43 UTC 2026","passed","Sun Jun 07 13:05:44 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","forbiddenPostUsersError"
